Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
8100802,Copa de porco defumada,248.659,COPA PORCO DEFUMADA
8101005,Bacon,541.0,BACON
8101101,Hambúrguer de frango,206.14,HAMBURGUER FRANGO
8102101,Salsicha no varejo,321.051,SALSICHA VAREJO
8102204,"Linguiça (suína, bovina, mista, etc.)",396.0,LINGUICA SUINA BOVINA MISTA
8102207,Linguiça de frango,244.0,LINGUICA FRANGO
8102401,Chouriço,379.0,CHOURICO
8102402,Morcela,379.0,MORCELA
8102403,Morcilha,379.0,MORCILHA
8102501,Paio,339.0,PAIO
8102601,Mortadela,307.0,MORTADELA
8102701,Salame,336.0,SALAME
8102702,Salaminho,336.0,SALAMINHO
8102801,Blanquet de peru,126.0,BLANQUET PERU
8102901,Presunto ,226.0,PRESUNTO
8103001,Hambúrguer de peru,195.964,HAMBURGUER PERU
8103101,Hambúrguer não especificado,214.0,HAMBURGUER ESPECIFICADO
8103601,Apresuntado,178.0,APRESUNTADO
8103901,Pururuca de porco,544.0,PURURUCA PORCO
8103902,Pele de porco preparada (pururuca),544.0,PELE PORCO PREPARADA PURURUCA
8104001,"Patê (fígado, calabresa, frango, presunto, etc.)",326.0,PATE FIGADO CALABRESA FRANGO PRESUNTO
8104101,Carne de aves defumada,195.659,CARNE AVES DEFUMADA
8104601,Carne salgada não especificada,313.0,CARNE SALGADA ESPECIFICADA
8104904,Mini chicken empanado,273.016,MINI CHICKEN EMPANADO
8105001,Mortadela light,211.0,MORTADELA LIGHT
8105201,Salsicha no varejo light,154.0,SALSICHA VAREJO LIGHT
8105401,Salame light,145.184,SALAME LIGHT
8105501,Blanquet de peru light,124.121,BLANQUET PERU LIGHT
8105701,Hambúrguer não especificado light,190.0,HAMBURGUER ESPECIFICADO LIGHT
8200101,Refrigerante de cola tradicional,36.874,REFRIGERANTE COLA TRADICIONAL
8200102,Coca-cola tradicional,36.874,COCA COLA TRADICIONAL
8200202,Fanta laranja tradicional,48.0,FANTA LARANJA TRADICIONAL
8200208,Sukita tradicional,48.0,SUKITA TRADICIONAL
8200301,Refrigerante de guaraná tradicional,39.0,REFRIGERANTE GUARANA TRADICIONAL
8200302,Guaraná tradicional,39.0,GUARANA TRADICIONAL
8200407,Sprit refrigerante tradicional,40.0,SPRIT REFRIGERANTE TRADICIONAL
8200505,Fanta uva tradicional,48.0,FANTA UVA TRADICIONAL
8200701,Refrigerante de cola light,2.002,REFRIGERANTE COLA LIGHT
8200702,Coca-cola light,2.002,COCA COLA LIGHT
8200801,Refrigerante de cola diet,2.0,REFRIGERANTE COLA DIET
8200902,Minuano tradicional,40.0,MINUANO TRADICIONAL
8201104,Mate tradicional,2.803,MATE TRADICIONAL
8201202,Bidu tradicional,39.0,BIDU TRADICIONAL
8201502,Fanta laranja light,0.0,FANTA LARANJA LIGHT
8201601,Refrigerante de guaraná light,0.0,REFRIGERANTE GUARANA LIGHT
8201602,Guaraná light,0.0,GUARANA LIGHT
8201802,Tubaína tradicional,39.0,TUBAINA TRADICIONAL
8201902,Tubaína light,2.002,TUBAINA LIGHT
8202001,Caldo de cana,73.58,CALDO CANA
8202002,Garapá,73.58,GARAPA
8202101,Água de coco,19.275,AGUA COCO
8202402,Q-suco,15.28,Q SUCO
8202403,Q-refresko,15.28,Q REFRESKO
8202602,Nescafé,241.0,NESCAFE
8202803,Erva-mate,2.803,ERVA MATE
8202804,Chimarrão,2.803,CHIMARRAO
8202805,Tereré,2.803,TERERE
8203401,Levedo de cerveja,170.0,LEVEDO CERVEJA
8203501,Refrigerante não especificado,36.874,REFRIGERANTE ESPECIFICADO
8203603,Cevada em pó,352.0,CEVADA PO
8204503,Chocomilk ,83.322,CHOCOMILK
8204902,Água tônica tradicional,40.017,AGUA TONICA TRADICIONAL
